,designation,description,productid,imageid
746,Robot de piscine électrique,Ce robot de piscine d'un design innovant et élégant apportera un nettoyage efficace et rapide. Il est conçu pour tous types de revêtements tels que le vinyle le béton la fibre de verre et la céramique. Avec un dispositif de commande il est facile à régler le cycle de nettoyage et le temps. Il suffit de brancher ce robot et le mettre dans la piscine. Ses deux filtres à paniers intérieurs sont mobiles pour retenir les moindres débits et le nettoyage. Ce robot de piscine robuste d'une vitesse de 4233 gal/h est parfait pour nettoyer la totalité de votre piscine. Avec son boîtier en thermoplaste ce robot de piscine vous donne une belle longévité.|<li><li>Robot de piscine convient aux piscines de tous types</li><li>Contrôlé par l'ordinateur <br /></li><li>Programme de nettoyage et de filtration</li><li>Mur d'escalade</li><li>Longueur du câble: 18 m</li><li>Vitesse: 4233 gal/h</li><li>Protection: IP54</li><li>Puissance: 60 W</li><li>Cycle de nettoyage: 30 / 60 / 90 / 120 s</li><li>Durée du cycle: 15 / 3 / 5 h</li><li>Opération silencieuse</li><li>Facile à utiliser</li><br /></li>,1134869629,1064209765
747,Masque Halloween Masques Led Glow Light Up Masque Effrayant Masque De Danse Érogène@Hpp5006,Masque Halloween LED Masques Glow Masque Effrayant Light Up érogène danse Mask Feature: Le masque est en prime PVC et El fil de lumière froide qui n&#39;a pas de mal aux UV aucun effet néfaste sur le corps humain ?IMPRESSIONNANT MASQUE Illuminez?: Vous pouvez acheter LED la lumière des masques pour un groupe d&#39;amis à porter pour une partie de la nuit à une réaction des gens voir drôle pary.Was due à la lumière masque de Halloween Halloween illuminer LED hommes femmes masque drôle le masque peut être utilisé à plusieurs reprises par exemple comme parti les Parties Rave discothèques clubs Haloween anniversaires festivals et autres événements Fixez le bloc d&#39;alimentation à votre poche ou sur vos vêtements. Prend deux piles AA (non inclus) Taille du produit: 21x17x10cm: 1 x Masque LED,4151009771,1301850198
748,Classeur Pour Collectionneur Numismatique Noir,,128034795,883096552
749,Kit piscine bois Sunbay Avila 942 x 592 x 146 m + Bâche hiver + Bâche à bulles + Spot,Profitez d&#39;une baignade à domicile avec la piscine bois octogonale Sunbay modèle Avila 942 x 592 x 146 m !Dimensions extérieures de la piscine en bois :- Longueur : 942 m- Largeur : 592 m- Hauteur : 146 mDimensions intérieures de la piscine en bois :- Longueur : 894 m- Largeur : 544 m- Hauteur : 142 m- Hauteur d&#39;eau : 136 m- Surface de nage : 435 m&#39;- Volume d&#39;eau : 5750 mEquipement :- Une structure de 8 pans de madriers large de 29 cm et épais de 36 cm visserie inox- Des margelles d&#39;une épaisseur de 46 cm et d&#39;une largeur de 29 cm- Caches margelle en inox- Un liner bleu PVC d&#39;une épaisseur 75/100- Avec feutre de fond et parois d&#39;une épaisseur de 200 g/m&#39;- Un filtre à sable et une pompe de 16 m³/h avec vanne 6 voies et sable inclus (125 kg).- Un skimmer blanc t une buse de refoulement- Une échalle intérieur en inox et une échelle extérieur amovible en bois,3850328342,1252627212
750,Carte Pokemon Coreen Noir & Blanc 033/069 C Bw4,,1315030743,1073197535
751,Pliable Imperméable Bébé Nouveau-Nés Couches Matelas À Langer Matelas À Langer Portable,Pliable imperméable bébé nouveau-nés couches matelas à langer portable Pad Changing Description: Sexe: Unisexe Type: pad couche-culotte Ce sac de couche-culotte est faite de matériau en tissu oxford de haute qualité durable pour une utilisation de longue durée et toucher doux pour votre bébé. Lorsque vous ne l&#39;utilisez pas vous pouvez le plier dans un sac à main et il a une dragonne qui peut être accroché à la poussette ou du poignet pour faciliter le transport. Sa conception simple et classique il peut aussi être une sorte de colocalisation par jour. Vous ne serez jamais peur de changer les couches pour votre bébé à l&#39;extérieur. Un sac vraiment merveilleux pour vous et votre bébé. Caractéristiques: Taille: 105 x 2 x 75 pouces Matériel: Tissu Oxford 100% qualité de la marque nouvelle et haute. Peut être plié petite taille le rend un transport facile. Peut être accroché à la poussette ou sur le poignet de la mère. Facile à plier et à proximité de boutons-pression élément très portable. sacs à couches portables à la mode pour une utilisation en extérieur pratique. Un grand sac de stockage de couches pour un voyage en famille. Note: 1. Il pourrait y avoir un peu de différence de couleur en raison des différents paramètres du moniteur d&#39;ordinateur. 2. A la différence de la méthode de mesure s&#39;il vous plaît permettre à 1-3cm écart de taille (1 cm &#61; 039 pouce). Merci de votre compréhension! Le forfait comprend: 1 PC pad couche-culotte,3913253793,1263007631
752,Magideal Module De Puce De La Meilleure Qualité Ic Pulse De Console De Jeu Avec Le Câble 1pcs Pour Xbox 360,<p><b>La description:</b></p><br /><p> Type de produit: Module de puce Pulse IC pour console de jeu <br /> Applicable à la console de jeu Microsoft XBOX360 <br /> Bon choix pour remplacer votre planche cassée / endommagée / ancienne. <br /> Taille de carte compacte avec patins faciles à souder installation rapide et facile. <br /> Les instructions d&#39;installation ne sont pas incluses l&#39;installation professionnelle est recommandée. </p><br /><p><b>Le forfait comprend:</b></p><br /><p> Panneau d&#39;impulsion de puce d&#39;IC 1piece <br /> 1 pièce de câble </p><br /><p><b>Remarque:</b></p><br /><p> Veuillez permettre une différence de 05 à 1 pouce en raison de la mesure manuelle. (1 pouce &#61; 254 cm) <br /> En raison de la différence entre les différents moniteurs l&#39;image peut ne pas refléter la couleur réelle de l&#39;élément. Essaye de comprendre. Je vous remercie! </p><br />,4141587372,1299517617
753,Superman - T-Shirt Sacrifice Part 2 Cover Rouge (S),T-shirt haute qualité sous licence officielle en emballage plastique individuel.100% Coton.Informations :Type :&nbsp;T-shirtsEditeur : &nbsp;CODI,289135308,984514784
754,Lot De 5 Livres Sur La Philosophie Livre 1 Pensées Sur La Liberté Livre 2 Pensées Sur La Politique Livre 3 Pensées Sur La Connaissance Livre 4 Paroles Aborigénes Australie Livre 5 Parole Soufies ,,439922661,1009123232
755,Acier Dur Essieu Avant Cvd Ar44 Universal Drive Shaft Pour Axial Scx10 Ii 90046 47 Drone 2449-Générique,Hard Steel Front Axle CVD AR44 Universal Drive Shaft For AXIAL SCX10 II 90046 47Features:100% brand new and high qualityApplication For 1/10 Scale Rock Crawler AXIAL SCX10 II 90046 90047Black ColorMaterial: SteelSize 10.7cm Package Includes:2X FRONT AXLE CVD,3607251985,1227168104
756,G.I. Joe 25th Anniversary Classic Storm Shadow (Cobra Ninja) 3.75 Inch Action Figure,G.I. Joe 25th Anniversary Classic Storm Shadow (Cobra Ninja) 3.75 Inch Action Figure,3470048292,1215500686
757,Piscine autoportante ovale BALO 2 - 4.57 x 3.05 x 1.07 m,<p>Piscine autoportante ovale - 4.57 x 3.05 x 1.07 m - Jambes de forces - Soutien latéral optimal - Filtration à cartouche RX1000 - Echelle - Bâche de protection - Tapis de sol</p>Matériaux : Matériau Tri-Tech composé de 3 couches - Durabilité accrue grâce à deux couches de PVC laminé qui renferment un maillage de polyester garantissant une plus grande résistance aux ultraviolets et au chlore<br />La couche interne en maille de polyester est soudée aux deux couches externes<br />Cela crée une épaisseur totale entre 040 et 080 mm selon les dimensions de la piscine.Dimensions (L x l x H m) : 4.57 x 3.05 x 1.07 m.Jambes de force : Oui.Echelle : Oui.Tapis de sol : Oui.Bâche de protection : Oui.Forme : ovale.Catégorie Bassin : Ovale longueur de 3 à 5 m.Profondeur : de 1 m à 1.10 m.Colisage : 1 colis : - 0648 x 0502 x 1435 m 6625 kg.,2875392195,1169449929
758,Lot De 2 Matelas 20 Cm 90x190 Ferme Mémoire De Forme + Poli Lattex - Spécial Sommiers Articulés + 2 Protèges Matelas Offerts 90 190,Spécial Sommiers Articulés &#43; 2 Protèges Matelas OFFERTS - Matelas Mémoire de Forme Déhoussable sur 4 cà¿tés et la Housse est Lavable à  30 Â° . Il est Spécialement étudié pour les Sommiers électriques ou mécaniques . Il a  4 cm de Mousse à  Mémoire de Forme 55 kg/m3 Face Hiver &#43; mousse Poli Lattex Haute Résilience Indéformable pour l&#39;à¢me et la Face été .  Hauteur 20 CM SOUTIEN FERME pour un bon maintien de la colonne vertébrale. Ce matelas Garanti 5 ans . Il épouse exactement la morphologie de votre corps et supprime toutes les zones de pression . Tissu stretch 100 % polyester 3D pour une ventilation maximale - Traité anti-acariens anti-bactériens antifongique et hypoallergénique &#43; 2 Protèges Matelas Imperméables Hygièniques - Ajustables pour Matelas de 13 à  35 cm de Hauteur - Absorbant et Respirant - Barrière anti-Acariens - Dessus 35% coton 65 % Polyester - Dessous en Péva: matière souple et écologique - Il prolongera la durée de vie de votre matelas,4108910677,1292414926
759,Tuyau d'eau Fermez le robinet 3/4 Tuyau sur Vanne d'arrêt Tuyau d'arrosage Vanne d'arrêt Langdidi 1033,Tuyau d&#39;eau Fermez le robinet 3/4 Tuyau sur Vanne d&#39;arrêt Tuyau d&#39;arrosage Shut Off point de vente du produit Valve: laiton Duty extrême robinet d&#39;arrêt laiton valve unidirectionnelle en laiton massif pas de fuite Le forfait comprend un tuyau d&#39;arrosage en laiton 1pc robinet d&#39;arrêt 4pcs nettoyeurs à haute pression Le meilleur connecteur de tuyau d&#39;arrosage: Facile à allumer et éteindre. 4pcs joints en caoutchouc pour le remplacement gratuit: application rapide et une utilisation pratique de sorte que vous pouvez gagner plus de temps d&#39;installation Matériel: Taille en laiton: 30x44.5x41 / 1.2x1.75x1.6in taille de l&#39;interface filetée: 3/4 pouces comprennent produit: 1x connecteur Tap,4055589348,1282175732
760,Vw Golf Variant Schabak 1/43-Schabak,,2710841011,1159488180
761,Rateau forgé 16 dents droites - manche bois -,Dents forgées,2698276613,1158326873
762,Lui1997®Jouets Éducatifs Pour Enfants En Bois Autour Beads Cartoon Animaux De Voitures,pour enfants Jouets éducatifs autour de perles en bois Cartoon animaux voiture Description: Âge recommandé Plage: plus de 12 mois couleur: comme images Matériel: Bois Taille: 155 * 142 * 9cm Ce produit vise à l&#39;imagination des enfants de formation coordination ¿il-main et la couleur Adopt vert peinture spéciale environnement Le paquet contient: 1 * Autour de perles en bois Cartoon animaux de voitures,4108904935,1292800755
763,Etoile De Noel 10 Leds Ww A Poser En Bois - 39.5 Cm - Blanche - Generique,Etoile de décoration Noël a poser 10 LED blanc - Etoile de décoration Noël a poser en bois de coloris blanc. Ses 10 LED de couleur blanc vous offre un éclairage intérieur haut en couleur. Fonctionne avec 2 piles LR6 non incluses. Dimensions : 39x5 cm. -  - Général : - Marque : ...,3808511202,1140321870
764,Vert Intérieur P010 Gamme Air - Pot De 17ml - Prince August,,273333595,975261028
765,Call Of Duty Edition Legacy,,3800558510,1246569265
766,Oops !  N° 074 : Giuseppe & Samira (Qui Veut Epouser Mon Fils ?) Senna & Astrid (Secret Story 4) Kristen Stewart Justin Bieber Vincent Ceruti (Interview) Scarlett Johansson Penelope Cruz Rihanna,,116562284,871644381
767,Nouveau 4pcs Antiderapant Toilettes Polyester Couverture Mat Set De Bain Rideau De Douche C1532,4PCS Antiderapant toilettes Polyester Couverture Mat Set de bain Rideau de douche point de vente de produits: sentiment doux et confortable fond en filet PVC non toxique inodore et non moisie. Facile à absorber l&#39;eau et à la poussière non toxique une bonne ventilation. Facile à nettoyer ne pas jeter et à la décoloration le dos éviter de diriger la lumière du soleil. Prévention des éclaboussures d&#39;eau à l&#39;extérieur de la douche et de protéger la vie privée pour les personnes. Les images imprimées en utilisant la technique de sublimation thermique pour des effets durables. Description: Matériel: fibre de polyester avec hameçons rideaux. Conçu pour s&#39;adapter baignoires. Taille: rideau de douche: 180x180cm Pad sur: 44 x 75 cm pad U sur: 49 x 39 cm couvercle de toilettes de: 44 x 38 cm empêcher l&#39;eau d&#39;éclabousser hors de la cabine de douche. Idéalement convient salles de bains de taille les plus classiques; accrocher juste sur le tube en acier. Emballage inclus:,4206625171,1315631589
768,Impression Nordique Série Végétale Rideaux Salon Rideaux Occultants Chambre @Yeigen960,Nordic série Imprimerie Rideaux Salon Chambre Blackout Rideaux point de vente du produit: filtre la lumière du jour doucement et agréablement onduler où vous pourrez profiter de la lecture et en sirotant un café à côté d&#39;eux. Propre ce rideau élégant et romantique votre maison sera plus belle et confortable; Créer un plus joli et moderne pour la décoration de votre maison; De bons cadeaux pour vos parents amis et collègues; matériau choisi forte durable et moins susceptibles de déchirer ou se déchirer un travail exquis; Lisse doux et confortable adapté à la maison Description Quantité: 2 Pc Couleur: comme l&#39;image deux pièces ensemble avec plus beau style: style nordique Matériel: Polyester (Lavable) Taille: 132x245cm x 2pc Lavage des soins: Lavage en machine à l&#39;eau froide cycle délicat ne pas utiliser de javel sèche-linge. Contenu du coffret: Une paire de rideau de fenêtre (2 rideaux pc) Remarque: rideau peut être utilisé comme un rideau de porte rideau de fenêtre ou un arrière-plan pour un affichage de vitrine. couleur de l&#39;article affiché dans les photos peut montrer un peu différent sur votre écran d&#39;ordinateur car les moniteurs ne sont pas calibrées même. espérer comprendre.,4071378338,1287558617
769,Banquette Convertible Futon Folker Bois Naturel Tissu Lin Couchage 140*200 Cm.,Robuste et attrayant le canapé futon FOLKER apportera une touche<br /> moderne et chaleureuse dans votre environnement grâce à ses lignes<br /> épurées et sa structure en bois ainsi que ses coloris de tissus chatoyants.<br /> Un simple soulèvement du cadre permet d&#39;incliner le canapé sur ses<br /> roulettes vous permettant de le déplacer aisément selon vos envies<br /> décoratives ou votre utilisation.<br /> <br /> Très confortable au quotidien il deviendra avec son dossier rabattu <br /> facilement un confortable lit d&#39;appoint de 140*200 cm avec son véritable <br /> matelas futon capitonné qui vous apportera un excellent confort d&#39;assise et de relaxation. <br /> <br /> CARACTÉRISTIQUES TECHNIQUES : <br /> <br /> - Couchage : 2 personnes 140 x 200 cm. Usage occasionnel.<br /> - Structure : Pin massif naturel.<br /> - Sommier: Pin massif 2 X 14 lattes.<br /> - Matelas Futon : Fibres mixtes mélangées ( lainecoton et polyester)<br /> &#43; 4 cm de mousse de polyester. <br /> - Roulettes arrières.<br /> <br /> REVÊTEMENT : <br /> <br /> - Tissu : Coloris 914 lin.<br /> - 80% coton &#43; 20% polyester.<br /> .<br /> <br /> DIMENSIONS : <br /> <br /> - Longueur : 200 cm.<br /> - Profondeur : 107 cm.<br /> - Hauteur d&#39;assise : 35 cm.<br /> - Profondeur d&#39;assise : 62 cm.<br /> - Hauteur de dossier : 82 cm.<br /> <br /> COUCHAGE : <br /> <br /> - Matelas : 140 x 200 cm.<br /> - Épaisseur : 15 cm.<br /> - Encombrement du lit ouvert 200 x 140 cm.<br /> <br /> DIMENSIONS COLIS  :<br /> <br /> - Colis 1 :<br /> <br /> - Long. : 200 cm x Larg. : 26 cm x Haut. : 15 cm.<br /> - Poids : 28 Kg.<br /> <br /> Colis 2 :<br /> <br /> - Long. : 95 cm x Larg. : 140 cm x Haut. : 26 cm.<br /> - Poids : 18 Kg.<br /> <br /> Dimensions (cm) : L200 x H82 x P107<br /> Déplié (cm) : L200 x H35 x P140-,4087547042,1304132080
770,Sayonara Monsieur Désespoir - Lot Mangas - Tome 1 À 15,,3742982050,1239972071
771,Lindner 8450-16 Feuille Pré-Imprimée Euro Collection: 3 Series Euro Slovénie,Feuille pré-imprimée avec feuille numismatique avec des informations intéressantes sur les séries de pièces courantes et leur pays respectif.,3817906635,1248863063
772,Pignon Sortie Moteur Modelcraft 6 Mm,<UL><LI>Contenu : 1 pc(s)</LI><LI>Dimensions produit diam. : 7 / 13 mm</LI><LI>Dimensions produit longueur : 15 mm</LI><LI>Modèle : Filetage intérieur M6</LI></UL>,418195638,1005832548
773,Journal Du Dimanche (Le) N° 1285 Du 11/07/1971 - Le Coup D'etat Au Maroc  -   Le Roi Est Mort  -   La Republique Est Proclamee Affirment Les Insruges  -   Le Roi Est Vivant   -   Assurent Les Monarchistes  -   Le General Oufkir - Pourquoi J'ai Fui...,,435046952,1007651831
774,L'état Maquereau Ou La Perversion Du Système Français,,2010568142,1121334454
775,Goutteur régulateur de pression fin de ligne 2 L/H,<p><strong>Goutteur régulateur</strong>. Débit constant indépendamment de la pression - de 05 à 4 bar.  Idéal pour les<strong> serres</strong> ou les installations de grande longueur avec des besoins en eau similaires. Pour montage sur <strong>tuyau 46</strong> ou 13mm 2 l/h – Contenu : 10 goutteurs</p>,159602287,915095083
776,Ps3 Controller Battery (Gbooster),,1187912260,1145898403
777,Parasite - Tome 09,De myst&eacute rieuses sph&egrave res abritant des parasites se r&eacute pandent un peu partout sur Terre. Rapidement les entit&eacute s prennent possession de certains habitants. Nul ne sait d'o&ugrave elles viennent mais elles sont l&agrave pour d&eacute barrasser le monde de l'esp&egrave ce humaine. Shin'ichi jeune lyc&eacute en est un &laquo h&ocirc te &raquo dont le cerveau a miraculeusement &eacute t&eacute &eacute pargn&eacute : Migy son parasite a pris possession de son bras droit ! Les deux &ecirc tres vont apprendre chacun l'un de l'autre. Alors que Shin'ichi se d&eacute couvre dot&eacute d'incroyables facult&eacute s physiques il prend aussi conscience de la menace qui plane sur ses proches... et sur l'humanit&eacute tout enti&egrave re. L'oeuvre d'Hitoshi Iwaaki est un tr&eacute pidant r&eacute cit fantastique m&ecirc lant l'horreur et la po&eacute sie le suspense et l'&eacute motion la plus intense dans un sc&eacute nario sans faille adulte et machiav&eacute lique &agrave couper le souffle. James Cameron fan du manga s'en est inspir&eacute pour &laquo Terminator 2 &raquo . D&eacute j&agrave culte au Japon et aux Etats-Unis &laquo Parasite &raquo est un v&eacute ritable choc qui va secouer l'hexagone.,2763371548,1308846238
778,Endommagé Vis extracteur Easy Out Set de boulon Remover Outils Kit DIY 8Pcs / Set sweetheart93,Endommagé Vis extracteur Easy Out Set de boulon Remover Outils Kit DIY 8pcs / SetFeatures: fiable Fabriqué à partir Qualité- acier au carbone et sont tempérées deux fois la dureté et une durabilité accrue. Travaux sur les vis à bois et de la machine ainsi que six pans plat ou recouverts de peinture screws.8 pièces Robustes tailles de extractordifferent en acier de l&#39;extracteur à vis pour répondre aux différents extracteurs de needs.These élimineront la plupart des types de vis cassées ou coincé endommagés dépouillé rouillés de tout bois ou surface métallique avec rapport ease.The nouveaux deux extracteurs de conduites d&#39;eau destinés à la pipes.It d&#39;eau cassée peut éliminer une partie du tournevis commun ne peuvent pas être démontées endommagées vis des boulons boulons et des morceaux de fil pipes.Reverse enlever facilement les boulons vis goujons et raccords de tuyauterie filetés .Foret un trou pilote dans le fastener.Choose un extracteur de boulon approprié et l&#39;insérer dans le trou.,4179728283,1309657660
779,2pc 3.7v 500mah Batterie Pour Idu U818a Rc Quadcopter Okadaopa 004-Générique,2PC 3.7V 500mAh Batterie pour IDU U818A RC Quadcopter Description: Nom de l&#39;article: 3.7V 500mAh batterie No .: U818-09 Taille: 58 x 19 x 8 mm Utilisation: pièce de rechange pour IDU U817 U817c U817A U818A RC Quadcopter Le paquet contient: 2 x 3.7V 500mAh Batterie,4058733568,1282723148
780,Noël Extérieur Sun De Fil De Cuivre Lampe Suspension Ampoule Led Sphérique Lumière 527,Christmas Outdoor Sun Copper Wire Spherical Bulb Suspension Lamp LED For LightingFeature:100%Brand new TOP A quality easy to useType: Copper Wire Bottle Suspension Decoration LightDimmable:YesStyle:LED Curtain LightShellMaterial: PlasticPower by: Solar PoweredLightingType: Light StripLightingMode: AlwaysOccasion:Home Window Bathroom Wedding Festival Holiday Fashion Show DanceStage etcFeatures:Useful DIY Party Decoration Lighting Environmental Friendly WindowCurtain LightsSize :13.5*9.5cm (Approx.)Package Content:1 x Decoration Light,4070689908,1285824572
781,Spa carré gonflable Netspa Aspen - 4 places - noir,<p><strong>DESCRIPTION :<br /></strong>Profitez toute l'année de moments de détente inoubliables en famille et appréciez des séances de relaxation optimales grâce à l'ébullition homogène et agréable des bulles de massage et une eau qui chauffe rapidement jusqu'à 42°C.<br />Sobre et moderne grâce à son coloris noir et ses finitions similicuir votre spa gonflable ASPEN se fond dans tous les décors : intérieur contemporain ou classique et même dans le jardin. Compact avec un design carré il est idéal pour 4 personnes.<br />Son revêtement ultra-résistant en PVC laminé similicuir et son liner intérieur perle de qualité supérieure vous assurent une grande robustesse et une assise des plus confortables.<br />Economique et intelligent il s'arrête automatiquement lorsque l'eau atteint la température requise et redémarre à 2°C d'écart. Son bloc moteur amovible facilite la maintenance du spa sans vider le bassin. La sécurité est 100 % garantie grâce à une prise différentielle à faible intensité une fermeture du spa avec système de sécurité une double isolation du réchauffeur électrique une triple protection contre le refoulement une protection contre la surchauffe et un verrouillage du panneau de contrôle.</p> <p><strong>Les + produit :</strong><br />- SAV français<br />- Matériaux ultra résistants<br />- Facile à installer simple à entretenir<br />- Eau chauffée jusqu?à 42°<br />- Coloris contemporains et esthétiques</p> <p><strong>Caractéristiques produit :</strong><br />- Dimensions : extérieur : 168 x 168cm intérieur : 128 x 128cm x Ht 70cm<br />- Capacité : 4 personnes<br />- Volume d'eau : 700L<br />- Poids à vide : 27kg - Diffuseurs à bulles : 110 buses<br />- Liner extérieur : PVC laminé avec finition similicuir<br />- Liner intérieur : PVC perle acrylique<br />- Protection au sol : tapis en tissu synthétique<br />- Couverture : PVC laminé 0.6 mm avec feuille d'aluminium<br />- Boucles : fermeture sécurisée avec boucles spéciales<br />- Panneau de contrôle : panneau digital intégré et verrouillable<br />- Alimentation : 240V  / 50Hz<br />- Pompe : Pompe à air et à bulles : 650W - Pompe de filtration : 40W - Débit de filtration : 1200L/h (320gal/h)<br />- Réchauffeur PTC : Puissance : 1500W / Vitesse : 1.5°C - 2.5°C/heure - Température maximale : 42°C - Double isolation du réchaffeur<br />- Certification : testé et certifié par TUV<br />- Garantie : 1 an structure gonflable et électronique</p> <p><strong>Accessoires inclus :</strong><br />2 filtres<br />1 support de filtration<br />1 tuyau de drainage<br />1 tuyau de gonflage<br />1 kit de réparation<br />1 prise différentielle<br />1 tapis de sol<br />1 couverture</p> <p><strong>Bon à savoir :</strong><br />La garantie ne prend pas en compte les dommages causés par la mauvaise utilisation du produit.</p> <p><strong>DÉTAILS TECHNIQUES :</strong></p> <p><strong>Composition et dimensions du produit :</strong><br />1 spa : extérieur : 168 x 168cm intérieur : 128 x 128cm x Ht 70cm<br />Article livré à installer soi-même installation facile grâce à une notice et un DVD inclus</p> <p><strong>Détails de livraison :</strong><br />Livraison à domicile par notre transporteur spécialisé. Vous bénéficiez d?un suivi de commande en recevant par mail un numéro personnalisé. Ainsi via le site de notre transporteur vous savez à tout moment où en est votre colis.<br />Livré en 1 colis - 3 à 5 jours ouvrés<br />Colis 1 : dimensions : L 62 x l 47 x H 55cm - poids brut : 258kg/poids net : 238kg<br /><br /><strong>TRES IMPORTANT :</strong> à la réception de votre commande vous devez impérativement contrôler le contenu de votre colis. En cas de dommage constaté des réserves précises indiquant l?état du colis et de la marchandise doivent être impérativement formulées sur le bon de livraison.</p>,1143212614,1084085030
